train_id,current_lat,current_lon,destination_lat,destination_lon,speed_kmph,track_condition,weather,congestion_level,signal_status,distance_to_next_station_km,route_deviation_meters,fuel_consumption_lph,scheduled_arrival_hour,delay_minutes,is_delayed
1051,17.239659920144607,87.98099956466848,12.439972639165198,72.01516175605316,67.48975969017103,Poor,Rain,0.5017835975702087,Yellow,46.571959702468995,317.2263300029941,361.0147897040595,7,23.625885187092624,1
1092,34.20319485954338,84.443357437185,29.53543832444511,96.14610330778946,49.16070287298066,Good,Rain,0.9311380008386785,Red,1.2752452007766157,365.64331874729453,353.9318109131837,10,23.470814434860102,1
1014,10.251582503674657,87.8241803314342,18.33541153475042,71.75778125843831,44.22706999644379,Good,Storm,0.5064575454452288,Yellow,4.8807253650623625,48.423086255275635,361.4095133671545,2,41.27719207116112,1
1071,32.0372670113358,68.0824224562552,24.871780259641238,71.23717744689267,69.2277225715382,Moderate,Fog,0.7886989895534721,Green,34.07380525094768,112.44350483977755,165.86640898217004,23,8.867492436955889,0
1060,18.117812176212883,94.99604618677145,10.88689311675758,81.31601530846771,43.78750916395519,Good,Storm,0.028909986641956542,Green,12.567269413430536,481.47159565133944,231.69523918459183,13,29.299339473497888,1
1020,23.126382484329387,71.21668669536939,16.88593835326445,87.10773070724103,48.336515003028104,Poor,Storm,0.7280814128625936,Yellow,45.67354493972421,167.57113273028946,152.37156131753792,7,61.525944160344956,1
1082,31.04008337580623,79.78122378333023,22.525083308165758,78.29277485821385,51.38380630383874,Poor,Storm,0.9468373861374773,Red,33.70324019069649,134.23710540410144,154.1623532327872,20,65.96504728109709,1
1086,33.64691986366617,90.36011273710079,14.719319087099894,73.58299364371018,40.153256494319926,Good,Storm,0.4995277848929358,Red,19.046271502776943,210.9556560621616,246.34819235536406,5,43.94073717038128,1
1074,17.998661182106765,80.6216908222733,23.71422834854141,91.74993767279682,52.260177267492274,Good,Storm,0.3377099130255864,Yellow,21.348837736192078,145.460375216631,388.0263264127764,20,32.56664391754822,1
1074,21.3934609569782,95.45843399835796,14.373020107818773,78.52999629767699,86.18229443026996,Good,Fog,0.6466505048868972,Green,34.85324275708135,45.590096275927586,277.573391890334,21,12.842136937274516,1
1087,20.020965879686976,81.56007950646423,26.852916026866062,73.63530822813331,105.56184976767491,Poor,Rain,0.9162612150932193,Red,7.907241027505022,103.98056595210164,356.1535289751916,0,26.269974436406233,1
1099,8.384279971613406,93.37324276247747,34.22627586725911,78.58746144769924,55.47439675264559,Good,Rain,0.17676965053334293,Red,44.28718213208386,320.0798987911666,381.15519835682016,9,0.0,0
1023,16.58234377690104,91.51401528750586,10.47917048319557,74.22207202164094,46.46980830780002,Moderate,Rain,0.4036942100227098,Green,1.2338132230787109,111.59127852636635,125.9726076592214,1,0.0,0
1002,21.316487778244294,96.44860278116181,14.281865037506504,83.06398439655787,98.36113587486977,Moderate,Fog,0.15629028098184117,Red,48.968400711889444,323.8335983474177,148.6191970538644,7,0.0,0
